213;REMACHE ALUMINIO 8-20-15 PACK 2000 U;0;160;115,40;REMACHES;RIVETS
214;REMACHE S.T. DE ACERO 10-10 PACK 2.000 UND;9;70;50,00;REMACHES;RIVETS
215;REMACHE S.T. DE ACERO 7 - 7 PACK 500 UND;2;80;12,00;REMACHES;RIVETS
216;REMACHE S.T. DE ACERO 10-8 PACK 2.000 UND;8,5;70;50,00;REMACHES;RIVETS
217;GRASA LUBRICO LITHIUM CLX GREASE NGLI:2 PAILA 14 KG;-1;150;125,00;GRASAS;LUBRICO
218;GRASA LUBRICO LITHIUM CROWN NEP 2 380 GR;-1;;60,00;GRASAS;LUBRICO
219;GRASA LUBRICO LITHIUM EP 2 GREASENGLI:2  PAILA 14 KG;0;;;GRASAS;LUBRICO
220;GRASA LUBRICO RED GRASE NLGI:3 PAILA 14 KG;0;;53,05;GRASAS;LUBRICO
221;LUBRICANTE LUBRICO EP GEAR OIL 220 TAMBOR 200 L;0;;;LUBRICANTES;LUBRICO
222;LUBRICANTE LUBRICO EP GEAR OIL 320 TAMBOR 200 L;0;;;LUBRICANTES;LUBRICO
223;LUBRICANTE LUBRICO GEAR OIL 140 CAJA 12 L;0;;;LUBRICANTES;LUBRICO
224;LUBRICANTE LUBRICO GEAR OIL 140 CARBOYA 20 L;0;;;LUBRICANTES;LUBRICO
225;LUBRICANTE LUBRICO GEAR OIL 140 TAMBOR 200 L;0;;;LUBRICANTES;LUBRICO
226;LUBRICANTE LUBRICO HYDROLUBE HLP 150 TAMBOR 200 L;0;;;LUBRICANTES;LUBRICO
227;LUBRICANTE LUBRICO HYDROLUBE HLP 32 TAMBOR 200 L;0;;;LUBRICANTES;LUBRICO
228;LUBRICANTE LUBRICO HYDROLUBE HLP 46 TAMBOR 200 L;0;;;LUBRICANTES;LUBRICO
229;LUBRICANTE LUBRICO HYDROLUBE HLP 68 CARBOYA 20 L;0;;65,00;LUBRICANTES;LUBRICO
230;LUBRICANTE LUBRICO HYDROLUBE HLP 68 TAMBOR 200 L;0;;;LUBRICANTES;LUBRICO
231;LUBRICANTE LUBRICO TCW 3 2T 1LT MARINE OIL CAJA 12X1 L;0;;;LUBRICANTES;LUBRICO
232;LUBRICANTE LUBRICO TITAN MOTO RC-2 2T CAJA 12X1 L;1;56;50,00;LUBRICANTES;LUBRICO
233;LUBRICANTE LUBRICO TITAN MOTO RC-3 20W50 CAJA 12X1 L;17;58;53,50;LUBRICANTES;LUBRICO
234;LUBRICANTE LUBRICO TITANIUM  GT-4 15W40 CAJA 12X1 L;2;65;58,50;LUBRICANTES;LUBRICO
235;LUBRICANTE LUBRICO TITANIUM  GT-4 15W40 CAJA 5X1 G;0,5;95;82,00;LUBRICANTES;LUBRICO
236;LUBRICANTE LUBRICO TITANIUM C1 SAE 50 CARBOYA 16 L;0;;;LUBRICANTES;LUBRICO
237;LUBRICANTE LUBRICO TITANIUM C1 SAE 50 CARBOYA 20 L;0;;72,00;LUBRICANTES;LUBRICO
238;LUBRICANTE LUBRICO TITANIUM C1 SAE 50 MINITAMBOR 60 L;0;;;LUBRICANTES;LUBRICO
239;LUBRICANTE LUBRICO TITANIUM C1 SAE 50 TAMBOR 200 L;0;;;LUBRICANTES;LUBRICO
240;LUBRICANTE LUBRICO TITANIUM C6 15W40 CARBOYA 20 L;0;;;LUBRICANTES;LUBRICO
241;LUBRICANTE LUBRICO TITANIUM C6 15W40 TAMBOR 200 L;0;;;LUBRICANTES;LUBRICO
242;LUBRICANTE LUBRICO TITANIUM GR-6 5W-30 CAJA 12X1 L;1,5;75;65,93;LUBRICANTES;LUBRICO
243;LUBRICANTE LUBRICO TITANIUM GT-3 20W50 CAJA 12X1 L;0;;;LUBRICANTES;LUBRICO
244;LUBRICANTE LUBRICO TITANIUM GT-3 20W50 CAJA 5X1 G;0;;75,00;LUBRICANTES;LUBRICO
245;LUBRICANTE LUBRICO TITANIUM GT-3 20W50 TAMBOR 200 L;0;;;LUBRICANTES;LUBRICO
246;LUBRICANTE LUBRICO TITANIUM GT-7 5W-40 CAJA 12X1 L;5;75;65,93;LUBRICANTES;LUBRICO
247;LUBRICANTE LUBRICO TITANIUM GT-9 5W-20 CAJA 12X1 L;5;75;68,64;LUBRICANTES;LUBRICO
248;LUBRICANTE LUBRICO TITANIUM GTX-4 10W40 CAJA 12X1 L;1,5;68;60,00;LUBRICANTES;LUBRICO
249;LUBRICANTE LUBRICO TITANIUM GTX-4 15W40 200LT;0;;;LUBRICANTES;LUBRICO
250;LUBRICANTE LUBRICO TITANIUM GTX-4 15W40 CAJA 12X1 L;0;68;61,50;LUBRICANTES;LUBRICO
251;LUBRICANTE LUBRICO TOP GEAR ATF DX III CAJA 12X1 L;0;;;LUBRICANTES;LUBRICO
252;LUBRICANTE LUBRICO TOP GEAR ATF DX III CARBOYA 20 L;6;;86,72;LUBRICANTES;LUBRICO
253;LUBRICANTE LUBRICO TOP GEAR ATF DX II CAJA 12X1 L;6;;49,00;LUBRICANTES;LUBRICO
254;LUBRICANTE LUBRICO TOP GEAR ATF DX III TAMBOR 200 L;0;;;LUBRICANTES;LUBRICO
255;LUBRICANTE LUBRICO TOP GEAR G4 85W-140 CARBOYA 20 L;0;;89,91;LUBRICANTES;LUBRICO
256;LUBRICANTE LUBRICO TOP GEAR G4 85W140 TAMBOR 200 L;0;;;LUBRICANTES;LUBRICO
257;LUBRICANTE LUBRICO TOP GEAR G5 80W-90 CAJA 12X1 L;0;;56,16;LUBRICANTES;LUBRICO
258;LUBRICANTE LUBRICO TOP GEAR G5 80W-90 CARBOYA 20 L;0;;;LUBRICANTES;LUBRICO
259;LUBRICANTE LUBRICO TOP GEAR G5 85W-140 CAJA 12X1 L;0;;;LUBRICANTES;LUBRICO
260;LUBRICANTE LUBRICO TOP GEAR G-9 75W90 CAJA 12X1 L;0;;;LUBRICANTES;LUBRICO
261;LUBRICANTE LUBRICO TURBIN OIL 32 TAMBOR 200 L;0;;;LUBRICANTES;LUBRICO
262;LUBRICANTE LUBRICO TURBIN OIL 46 TAMBOR 200 L;0;;;LUBRICANTES;LUBRICO
263;LUBRICANTE LUBRICO TURBIN OIL 68 TAMBOR 200 L;0;;;LUBRICANTES;LUBRICO
264;LIGA FRENO LUBRICO BRAKE DOT 3 CAJA 24X500 CC;0;90;71,91;LIGA FRENO;LUBRICO
265;LIGA DE FRENOS STRON DOT3 CAJA 12X1 L;0;65;49,00;LIGA FRENO;STRON
